Year,League,Series_Name,Series_Dates,Winner_Team,Winner_Wins,Loser_Team,Loser_Wins,Winner_Seed,Loser_Seed,Favorite_Team,Favorite_Odds,Underdog_Team,Underdog_Odds
1987,NBA,Eastern Conf Semifinals,May 5 - May 17 1987,Boston Celtics,4,Milwaukee Bucks,3,1,4,,,,
1987,NBA,Eastern Conf Semifinals,May 3 - May 13 1987,Detroit Pistons,4,Atlanta Hawks,1,3,2,,,,
1987,NBA,Western Conf Semifinals,May 5 - May 12 1987,Los Angeles Lakers,4,Golden State Warriors,1,1,5,,,,
1987,NBA,Western Conf Semifinals,May 2 - May 14 1987,Seattle SuperSonics,4,Houston Rockets,2,7,6,,,,
1987,NBA,Eastern Conf Finals,May 19 - May 30 1987,Boston Celtics,4,Detroit Pistons,3,1,3,,,,
1987,NBA,Western Conf Finals,May 16 - May 25 1987,Los Angeles Lakers,4,Seattle SuperSonics,0,1,7,,,,
1987,NBA,Finals,Jun 2 - Jun 14 1987,Los Angeles Lakers,4,Boston Celtics,2,1,1,,,,
1986,NBA,Eastern Conf First Round,Apr 17 - Apr 25 1986,Atlanta Hawks,3,Detroit Pistons,1,4,5,,,,
1986,NBA,Eastern Conf First Round,Apr 17 - Apr 22 1986,Boston Celtics,3,Chicago Bulls,0,1,8,,,,
1986,NBA,Eastern Conf First Round,Apr 18 - Apr 22 1986,Milwaukee Bucks,3,New Jersey Nets,0,2,7,,,,
1986,NBA,Eastern Conf First Round,Apr 18 - Apr 27 1986,Philadelphia 76ers,3,Washington Bullets,2,3,6,,,,
1986,NBA,Western Conf First Round,Apr 18 - Apr 25 1986,Dallas Mavericks,3,Utah Jazz,1,4,5,,,,
1986,NBA,Western Conf First Round,Apr 18 - Apr 24 1986,Denver Nuggets,3,Portland Trail Blazers,1,3,6,,,,
1986,NBA,Western Conf First Round,Apr 17 - Apr 22 1986,Houston Rockets,3,Sacramento Kings,0,2,7,,,,
1986,NBA,Western Conf First Round,Apr 17 - Apr 23 1986,Los Angeles Lakers,3,San Antonio Spurs,0,1,8,,,,
1986,NBA,Eastern Conf Semifinals,Apr 27 - May 6 1986,Boston Celtics,4,Atlanta Hawks,1,1,4,,,,
1986,NBA,Eastern Conf Semifinals,Apr 29 - May 11 1986,Milwaukee Bucks,4,Philadelphia 76ers,3,2,3,,,,
1986,NBA,Western Conf Semifinals,Apr 26 - May 8 1986,Houston Rockets,4,Denver Nuggets,2,2,3,,,,
1986,NBA,Western Conf Semifinals,Apr 27 - May 8 1986,Los Angeles Lakers,4,Dallas Mavericks,2,1,4,,,,
1986,NBA,Eastern Conf Finals,May 13 - May 18 1986,Boston Celtics,4,Milwaukee Bucks,0,1,2,,,,
1986,NBA,Western Conf Finals,May 10 - May 21 1986,Houston Rockets,4,Los Angeles Lakers,1,2,1,,,,
1986,NBA,Finals,May 26 - Jun 8 1986,Boston Celtics,4,Houston Rockets,2,1,2,,,,
1985,NBA,Eastern Conf First Round,Apr 18 - Apr 25 1985,Boston Celtics,3,Cleveland Cavaliers,1,1,8,,,,
1985,NBA,Eastern Conf First Round,Apr 18 - Apr 24 1985,Detroit Pistons,3,New Jersey Nets,0,4,5,,,,
1985,NBA,Eastern Conf First Round,Apr 19 - Apr 26 1985,Milwaukee Bucks,3,Chicago Bulls,1,2,7,,,,
1985,NBA,Eastern Conf First Round,Apr 17 - Apr 26 1985,Philadelphia 76ers,3,Washington Bullets,1,3,6,,,,
1985,NBA,Western Conf First Round,Apr 18 - Apr 28 1985,Denver Nuggets,3,San Antonio Spurs,2,2,7,,,,
1985,NBA,Western Conf First Round,Apr 18 - Apr 23 1985,Los Angeles Lakers,3,Phoenix Suns,0,1,8,,,,
1985,NBA,Western Conf First Round,Apr 18 - Apr 25 1985,Portland Trail Blazers,3,Dallas Mavericks,1,5,4,,,,
1985,NBA,Western Conf First Round,Apr 19 - Apr 28 1985,Utah Jazz,3,Houston Rockets,2,6,3,,,,
1985,NBA,Eastern Conf Semifinals,Apr 28 - May 10 1985,Boston Celtics,4,Detroit Pistons,2,1,4,,,,
1985,NBA,Eastern Conf Semifinals,Apr 28 - May 5 1985,Philadelphia 76ers,4,Milwaukee Bucks,0,3,2,,,,
1985,NBA,Western Conf Semifinals,Apr 30 - May 7 1985,Denver Nuggets,4,Utah Jazz,1,2,6,,,,
1985,NBA,Western Conf Semifinals,Apr 27 - May 7 1985,Los Angeles Lakers,4,Portland Trail Blazers,1,1,5,,,,
1985,NBA,Eastern Conf Finals,May 12 - May 22 1985,Boston Celtics,4,Philadelphia 76ers,1,1,3,,,,
1985,NBA,Western Conf Finals,May 11 - May 22 1985,Los Angeles Lakers,4,Denver Nuggets,1,1,2,,,,
1985,NBA,Finals,May 27 - Jun 9 1985,Los Angeles Lakers,4,Boston Celtics,2,1,1,,,,
1984,NBA,Eastern Conf First Round,Apr 17 - Apr 24 1984,Boston Celtics,3,Washington Bullets,1,1,8,,,,
1984,NBA,Eastern Conf First Round,Apr 17 - Apr 26 1984,Milwaukee Bucks,3,Atlanta Hawks,2,2,7,,,,
1984,NBA,Eastern Conf First Round,Apr 18 - Apr 26 1984,New Jersey Nets,3,Philadelphia 76ers,2,6,3,,,,
1984,NBA,Eastern Conf First Round,Apr 17 - Apr 27 1984,New York Knicks,3,Detroit Pistons,2,5,4,,,,
1984,NBA,Western Conf First Round,Apr 17 - Apr 26 1984,Dallas Mavericks,3,Seattle SuperSonics,2,4,5,,,,
1984,NBA,Western Conf First Round,Apr 18 - Apr 22 1984,Los Angeles Lakers,3,Kansas City Kings,0,1,8,,,,
1984,NBA,Western Conf First Round,Apr 18 - Apr 26 1984,Phoenix Suns,3,Portland Trail Blazers,2,6,3,,,,
1984,NBA,Western Conf First Round,Apr 17 - Apr 26 1984,Utah Jazz,3,Denver Nuggets,2,2,7,,,,
1984,NBA,Eastern Conf Semifinals,Apr 29 - May 13 1984,Boston Celtics,4,New York Knicks,3,1,5,,,,
1984,NBA,Eastern Conf Semifinals,Apr 29 - May 10 1984,Milwaukee Bucks,4,New Jersey Nets,2,2,6,,,,
1984,NBA,Western Conf Semifinals,Apr 28 - May 8 1984,Los Angeles Lakers,4,Dallas Mavericks,1,1,4,,,,
1984,NBA,Western Conf Semifinals,Apr 29 - May 10 1984,Phoenix Suns,4,Utah Jazz,2,6,2,,,,
1984,NBA,Eastern Conf Finals,May 15 - May 23 1984,Boston Celtics,4,Milwaukee Bucks,1,1,2,,,,
1984,NBA,Western Conf Finals,May 12 - May 25 1984,Los Angeles Lakers,4,Phoenix Suns,2,1,6,,,,
1984,NBA,Finals,May 27 - Jun 12 1984,Boston Celtics,4,Los Angeles Lakers,3,1,1,,,,
1983,NBA,Eastern Conf First Round,Apr 19 - Apr 24 1983,Boston Celtics,2,Atlanta Hawks,1,3,6,,,,
1983,NBA,Eastern Conf First Round,Apr 20 - Apr 21 1983,New York Knicks,2,New Jersey Nets,0,5,4,,,,
1983,NBA,Western Conf First Round,Apr 19 - Apr 24 1983,Denver Nuggets,2,Phoenix Suns,1,6,3,,,,
1983,NBA,Western Conf First Round,Apr 20 - Apr 22 1983,Portland Trail Blazers,2,Seattle SuperSonics,0,5,4,,,,
1983,NBA,Eastern Conf Semifinals,Apr 27 - May 2 1983,Milwaukee Bucks,4,Boston Celtics,0,2,3,,,,
1983,NBA,Eastern Conf Semifinals,Apr 24 - May 1 1983,Philadelphia 76ers,4,New York Knicks,0,1,5,,,,
1983,NBA,Western Conf Semifinals,Apr 24 - May 3 1983,Los Angeles Lakers,4,Portland Trail Blazers,1,1,5,,,,
1983,NBA,Western Conf Semifinals,Apr 26 - May 4 1983,San Antonio Spurs,4,Denver Nuggets,1,2,6,,,,
1983,NBA,Eastern Conf Finals,May 8 - May 18 1983,Philadelphia 76ers,4,Milwaukee Bucks,1,1,2,,,,
1983,NBA,Western Conf Finals,May 8 - May 20 1983,Los Angeles Lakers,4,San Antonio Spurs,2,1,2,,,,
1983,NBA,Finals,May 22 - May 31 1983,Philadelphia 76ers,4,Los Angeles Lakers,0,1,1,,,,
1982,NBA,Eastern Conf First Round,Apr 21 - Apr 23 1982,Philadelphia 76ers,2,Atlanta Hawks,0,3,6,,,,
1982,NBA,Eastern Conf First Round,Apr 20 - Apr 23 1982,Washington Bullets,2,New Jersey Nets,0,5,4,,,,
1982,NBA,Western Conf First Round,Apr 20 - Apr 24 1982,Phoenix Suns,2,Denver Nuggets,1,5,4,,,,
1982,NBA,Western Conf First Round,Apr 21 - Apr 25 1982,Seattle SuperSonics,2,Houston Rockets,1,3,6,,,,
1982,NBA,Eastern Conf Semifinals,Apr 25 - May 5 1982,Boston Celtics,4,Washington Bullets,1,1,5,,,,
1982,NBA,Eastern Conf Semifinals,Apr 25 - May 7 1982,Philadelphia 76ers,4,Milwaukee Bucks,2,3,2,,,,
1982,NBA,Western Conf Semifinals,Apr 27 - May 2 1982,Los Angeles Lakers,4,Phoenix Suns,0,1,5,,,,
1982,NBA,Western Conf Semifinals,Apr 27 - May 5 1982,San Antonio Spurs,4,Seattle SuperSonics,1,2,3,,,,
1982,NBA,Eastern Conf Finals,May 9 - May 23 1982,Philadelphia 76ers,4,Boston Celtics,3,3,1,,,,
1982,NBA,Western Conf Finals,May 9 - May 15 1982,Los Angeles Lakers,4,San Antonio Spurs,0,1,2,,,,
1982,NBA,Finals,May 27 - Jun 8 1982,Los Angeles Lakers,4,Philadelphia 76ers,2,1,3,,,,
1981,NBA,Eastern Conf First Round,Mar 31 - Apr 3 1981,Chicago Bulls,2,New York Knicks,0,5,4,,,,
1981,NBA,Eastern Conf First Round,Mar 31 - Apr 2 1981,Philadelphia 76ers,2,Indiana Pacers,0,3,6,,,,
1981,NBA,Western Conf First Round,Apr 1 - Apr 5 1981,Houston Rockets,2,Los Angeles Lakers,1,6,3,,,,
1981,NBA,Western Conf First Round,Apr 1 - Apr 5 1981,Kansas City Kings,2,Portland Trail Blazers,1,5,4,,,,
1981,NBA,Eastern Conf Semifinals,Apr 5 - Apr 12 1981,Boston Celtics,4,Chicago Bulls,0,1,5,,,,
1981,NBA,Eastern Conf Semifinals,Apr 5 - Apr 19 1981,Philadelphia 76ers,4,Milwaukee Bucks,3,3,2,,,,
1981,NBA,Western Conf Semifinals,Apr 7 - Apr 17 1981,Houston Rockets,4,San Antonio Spurs,3,6,2,,,,
1981,NBA,Western Conf Semifinals,Apr 7 - Apr 19 1981,Kansas City Kings,4,Phoenix Suns,3,5,1,,,,
1981,NBA,Eastern Conf Finals,Apr 21 - May 3 1981,Boston Celtics,4,Philadelphia 76ers,3,1,3,,,,
1981,NBA,Western Conf Finals,Apr 21 - Apr 29 1981,Houston Rockets,4,Kansas City Kings,1,6,5,,,,
1981,NBA,Finals,May 5 - May 14 1981,Boston Celtics,4,Houston Rockets,2,1,6,,,,
1980,NBA,Eastern Conf First Round,Apr 2 - Apr 6 1980,Houston Rockets,2,San Antonio Spurs,1,4,5,,,,
1980,NBA,Eastern Conf First Round,Apr 2 - Apr 4 1980,Philadelphia 76ers,2,Washington Bullets,0,3,6,,,,
1980,NBA,Western Conf First Round,Apr 2 - Apr 6 1980,Phoenix Suns,2,Kansas City Kings,1,4,5,,,,
1980,NBA,Western Conf First Round,Apr 2 - Apr 6 1980,Seattle SuperSonics,2,Portland Trail Blazers,1,3,6,,,,
1980,NBA,Eastern Conf Semifinals,Apr 9 - Apr 14 1980,Boston Celtics,4,Houston Rockets,0,1,4,,,,
1980,NBA,Eastern Conf Semifinals,Apr 6 - Apr 15 1980,Philadelphia 76ers,4,Atlanta Hawks,1,3,2,,,,
1980,NBA,Western Conf Semifinals,Apr 8 - Apr 15 1980,Los Angeles Lakers,4,Phoenix Suns,1,1,4,,,,
1980,NBA,Western Conf Semifinals,Apr 8 - Apr 20 1980,Seattle SuperSonics,4,Milwaukee Bucks,3,3,2,,,,
1980,NBA,Eastern Conf Finals,Apr 18 - Apr 27 1980,Philadelphia 76ers,4,Boston Celtics,1,3,1,,,,
1980,NBA,Western Conf Finals,Apr 22 - Apr 30 1980,Los Angeles Lakers,4,Seattle SuperSonics,1,1,3,,,,
1980,NBA,Finals,May 4 - May 16 1980,Los Angeles Lakers,4,Philadelphia 76ers,2,1,3,,,,
1979,NBA,Eastern Conf First Round,Apr 11 - Apr 13 1979,Atlanta Hawks,2,Houston Rockets,0,5,4,,,,
1979,NBA,Eastern Conf First Round,Apr 11 - Apr 13 1979,Philadelphia 76ers,2,New Jersey Nets,0,3,6,,,,
1979,NBA,Western Conf First Round,Apr 10 - Apr 15 1979,Los Angeles Lakers,2,Denver Nuggets,1,5,4,,,,
1979,NBA,Western Conf First Round,Apr 10 - Apr 15 1979,Phoenix Suns,2,Portland Trail Blazers,1,3,6,,,,
1979,NBA,Eastern Conf Semifinals,Apr 15 - May 2 1979,San Antonio Spurs,4,Philadelphia 76ers,3,2,3,,,,
1979,NBA,Eastern Conf Semifinals,Apr 15 - Apr 29 1979,Washington Bullets,4,Atlanta Hawks,3,1,5,,,,
1979,NBA,Western Conf Semifinals,Apr 17 - Apr 27 1979,Phoenix Suns,4,Kansas City Kings,1,3,2,,,,
1979,NBA,Western Conf Semifinals,Apr 17 - Apr 25 1979,Seattle SuperSonics,4,Los Angeles Lakers,1,1,5,,,,
1979,NBA,Eastern Conf Finals,May 4 - May 18 1979,Washington Bullets,4,San Antonio Spurs,3,1,2,,,,
1979,NBA,Western Conf Finals,May 1 - May 17 1979,Seattle SuperSonics,4,Phoenix Suns,3,1,3,,,,
1979,NBA,Finals,May 20 - Jun 1 1979,Seattle SuperSonics,4,Washington Bullets,1,1,1,,,,
1978,NBA,Eastern Conf First Round,Apr 12 - Apr 14 1978,New York Knicks,2,Cleveland Cavaliers,0,5,4,,,,
1978,NBA,Eastern Conf First Round,Apr 12 - Apr 14 1978,Washington Bullets,2,Atlanta Hawks,0,3,6,,,,
1978,NBA,Western Conf First Round,Apr 11 - Apr 14 1978,Milwaukee Bucks,2,Phoenix Suns,0,6,3,,,,
1978,NBA,Western Conf First Round,Apr 12 - Apr 16 1978,Seattle SuperSonics,2,Los Angeles Lakers,1,4,5,,,,
1978,NBA,Eastern Conf Semifinals,Apr 16 - Apr 23 1978,Philadelphia 76ers,4,New York Knicks,0,1,5,,,,
1978,NBA,Eastern Conf Semifinals,Apr 16 - Apr 28 1978,Washington Bullets,4,San Antonio Spurs,2,3,2,,,,
1978,NBA,Western Conf Semifinals,Apr 18 - May 3 1978,Denver Nuggets,4,Milwaukee Bucks,3,2,6,,,,
